===SelfControl-Killer Log File===

SelfControl Version: 3.0.3
System Version: Mac OS X Version 10.15.6 (Build 19G73)Launchd daemons loaded:

PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
643	0	com.apple.progressd
-	0	com.google.keystone.user.xpcservice
486	0	com.macpaw.CleanMyMac4.HealthMonitor
627	0	com.apple.cloudphotod
358	0	com.apple.Finder
645	0	com.apple.homed
471	0	com.apple.SafeEjectGPUAgent
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
-	0	com.apple.PackageKit.InstallStatus
444	0	com.apple.mediaremoteagent
566	0	com.apple.FontWorker
395	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
668	0	com.apple.xpc.launchd.oneshot.0x10000007.Pages
-	0	com.apple.universalaccessAuthWarn
345	0	com.apple.nsurlsessiond
-	0	com.apple.devicecheckd
522	0	com.macpaw.CleanMyMac4.Menu
-	0	com.apple.syncservices.uihandler
410	0	com.apple.iconservices.iconservicesagent
-	0	com.apple.ContactsAgent
575	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.ManagedClientAgent.agent
-	0	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
409	0	com.apple.commerce
-	0	com.apple.TMHelperAgent.SetupOffer
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
601	0	com.apple.photolibraryd
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
528	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.universalaccessHUD
666	0	com.apple.assistant_service
-	0	com.apple.MRTa
-	0	com.apple.touristd
384	0	com.apple.CommCenter
328	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
321	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
455	0	com.apple.TrustedPeersHelper
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.java.InstallOnDemand
489	0	com.apple.keyboardservicesd
441	0	com.apple.quicklook.ThumbnailsAgent
-	0	com.apple.csuseragent
450	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
518	0	com.apple.SocialPushAgent
-	0	com.apple.accessibility.AXVisualSupportAgent
515	0	com.apple.xpc.loginitemregisterd
482	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	0	com.apple.screensharing.menuextra
386	0	com.apple.AddressBook.ContactsAccountsService
-	0	com.apple.warmd_agent
-	0	com.apple.universalaccesscontrol
-	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.findmymacmessenger
-	0	design.yugen.FlowHelper
-	0	com.apple.FilesystemUI
401	0	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.systemprofiler
335	0	com.apple.cloudd
-	0	com.apple.noticeboard.agent
-	0	com.apple.UserNotificationCenterAgent
502	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
491	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
-	0	com.apple.LocalAuthentication.UIAgent
665	0	com.apple.ap.adprivacyd
-	0	com.apple.PhotoLibraryMigrationUtility.XPC
398	0	com.apple.apfsuseragent
391	0	com.apple.networkserviceproxy
611	0	com.apple.AMPLibraryAgent
-	0	com.openssh.ssh-agent
-	0	com.apple.atsd
-	0	com.apple.tonelibraryd
598	0	com.apple.CloudPhotosConfiguration
-	0	com.apple.mdworker.bundles
340	0	com.apple.ctkd
-	0	com.apple.package-script-service
348	0	com.apple.secinitd
-	0	com.apple.facebook.xpc
353	0	com.apple.xpc.launchd.oneshot.0x10000005.Terminal
-	0	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
338	0	com.apple.tccd
490	0	com.apple.replayd
396	0	com.apple.coreservices.uiagent
-	0	com.apple.icloud.searchpartyuseragent
-	0	com.apple.AccessibilityVisualsAgent
521	0	com.apple.Siri.agent
-	0	com.apple.installd.user
351	0	com.apple.akd
425	0	com.apple.CallHistoryPluginHelper
418	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
-	0	com.apple.mbfloagent
-	0	com.apple.printtool.agent
354	0	com.apple.nsurlstoraged
523	0	com.apple.askpermissiond
-	0	com.apple.USBAgent
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
-	0	com.apple.speech.synthesisserver
-	0	com.apple.WebKit.PluginAgent
-	0	com.apple.DiagnosticReportCleanup.plist
541	0	com.apple.storeuid
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
532	0	com.apple.CryptoTokenKit.ahp.agent
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
445	0	com.apple.remindd
-	0	com.apple.appsleep
413	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.ContainerRepairAgent
-	0	com.apple.netauth.user.auth
-	0	com.apple.siri-distributed-evaluation
363	0	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
-	0	com.apple.cvmsCompAgent_x86_64
327	0	com.apple.lsd
392	0	com.apple.siri.context.service
-	0	com.apple.weibo.xpc
342	0	com.apple.pluginkit.pkd
-	0	com.apple.security.XPCTimeStampingService
487	0	com.apple.cache_delete
371	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
-	0	com.apple.CallHistorySyncHelper
465	0	com.apple.colorsync.useragent
399	0	com.apple.parsecd
356	0	com.apple.Dock.agent
-	0	com.apple.parsec-fbf
364	0	com.apple.dmd
-	0	com.apple.transparencyd
379	0	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
341	0	com.apple.security.cloudkeychainproxy3
323	0	com.apple.UserEventAgent-Aqua
644	0	com.apple.followupd
-	0	com.apple.ReportPanic
332	0	com.apple.identityservicesd
406	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
932	0	org.eyebeam.SelfControl.49904
-	0	com.apple.security.DiskUnmountWatcher
416	0	com.apple.CoreLocationAgent
333	0	com.apple.SecureBackupDaemon
936	0	com.apple.security.agent
